case,layer,datatype,baseline_area_um2,candidate_area_um2,intersection_area_um2,only_baseline_area_um2,only_candidate_area_um2,xor_area_um2,overlap_ratio,baseline_polygons,candidate_polygons
toy_example_gp,1,0,816.428444,816.428444,816.428444,0.0,0.0,0.0,1.0,4,4
toy_example_gp,3,0,182.149446,182.149446,182.149446,0.0,0.0,0.0,1.0,1,1
toy_example_gp,20,0,40.067064,40.067064,40.067064,0.0,0.0,0.0,1.0,1,1
toy_example_gp,21,0,65.733365,65.733365,65.733365,0.0,0.0,0.0,1.0,1,1
toy_example_gp,22,0,29.70395,29.70395,29.70395,0.0,0.0,0.0,1.0,1,1
toy_example_gp,23,0,54.282521,54.282521,54.282521,0.0,0.0,0.0,1.0,1,1
toy_example_gp,24,0,23.771295,23.771295,23.771295,0.0,0.0,0.0,1.0,2,2
toy_example_gp,25,0,41.73801,41.73801,41.73801,0.0,0.0,0.0,1.0,1,1
toy_example_gp,40,0,22.503123,22.503123,22.503123,0.0,0.0,0.0,1.0,10,10
toy_example_gp,41,0,38.418175,38.418175,38.418175,0.0,0.0,0.0,1.0,3,3
toy_example_gp,43,0,0.98,0.98,0.98,0.0,0.0,0.0,1.0,2,2
toy_example_gp,44,0,1.06,1.06,1.06,0.0,0.0,0.0,1.0,10,10
toy_example_gp,45,0,18.2605,18.2605,18.2605,0.0,0.0,0.0,1.0,3,3
toy_example_gp,49,0,18.2605,18.2605,18.2605,0.0,0.0,0.0,1.0,3,3
toy_example_gp,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
mrr_weight_bank_4x4,1,0,4434.07647,4434.07647,4434.07647,0.0,0.0,0.0,1.0,203,203
mrr_weight_bank_4x4,2,0,3715.282628,3715.282628,3715.282628,0.0,0.0,0.0,1.0,11,11
mrr_weight_bank_4x4,3,0,1062.15672,1062.15672,1062.15672,0.0,0.0,0.0,1.0,24,24
mrr_weight_bank_4x4,20,0,326.954792,326.954792,326.954792,0.0,0.0,0.0,1.0,24,24
mrr_weight_bank_4x4,21,0,536.385416,536.385416,536.385416,0.0,0.0,0.0,1.0,24,24
mrr_weight_bank_4x4,22,0,242.428704,242.428704,242.428704,0.0,0.0,0.0,1.0,24,24
mrr_weight_bank_4x4,23,0,442.933336,442.933336,442.933336,0.0,0.0,0.0,1.0,24,24
mrr_weight_bank_4x4,24,0,288.010376,288.010376,288.010376,0.0,0.0,0.0,1.0,48,48
mrr_weight_bank_4x4,25,0,340.551432,340.551432,340.551432,0.0,0.0,0.0,1.0,24,24
mrr_weight_bank_4x4,40,0,188.865352,188.865352,188.865352,0.0,0.0,0.0,1.0,144,144
mrr_weight_bank_4x4,41,0,444.607528,444.607528,444.607528,0.0,0.0,0.0,1.0,64,64
mrr_weight_bank_4x4,43,0,15.68,15.68,15.68,0.0,0.0,0.0,1.0,32,32
mrr_weight_bank_4x4,44,0,16.96,16.96,16.96,0.0,0.0,0.0,1.0,160,160
mrr_weight_bank_4x4,45,0,296.0,296.0,296.0,0.0,0.0,0.0,1.0,64,64
mrr_weight_bank_4x4,49,0,296.0,296.0,296.0,0.0,0.0,0.0,1.0,64,64
mrr_weight_bank_4x4,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
mrr_weight_bank_8x8,1,0,12660.977555,12660.977555,12660.977555,0.0,0.0,0.0,1.0,402,402
mrr_weight_bank_8x8,2,0,7430.56542,7430.56542,7430.56542,0.0,0.0,0.0,1.0,22,22
mrr_weight_bank_8x8,3,0,14309.412408,14309.412408,14309.412408,0.0,0.0,0.0,1.0,72,72
mrr_weight_bank_8x8,20,0,1089.826064,1089.826064,1089.826064,0.0,0.0,0.0,1.0,80,80
mrr_weight_bank_8x8,21,0,1787.954864,1787.954864,1787.954864,0.0,0.0,0.0,1.0,80,80
mrr_weight_bank_8x8,22,0,808.095616,808.095616,808.095616,0.0,0.0,0.0,1.0,80,80
mrr_weight_bank_8x8,23,0,1476.43624,1476.43624,1476.43624,0.0,0.0,0.0,1.0,80,80
mrr_weight_bank_8x8,24,0,1007.360944,1007.360944,1007.360944,0.0,0.0,0.0,1.0,160,160
mrr_weight_bank_8x8,25,0,1135.176976,1135.176976,1135.176976,0.0,0.0,0.0,1.0,80,80
mrr_weight_bank_8x8,40,0,638.757296,638.757296,638.757296,0.0,0.0,0.0,1.0,800,800
mrr_weight_bank_8x8,41,0,1669.7324,1669.7324,1669.7324,0.0,0.0,0.0,1.0,256,256
mrr_weight_bank_8x8,43,0,62.72,62.72,62.72,0.0,0.0,0.0,1.0,128,128
mrr_weight_bank_8x8,44,0,69.12,69.12,69.12,0.0,0.0,0.0,1.0,768,768
mrr_weight_bank_8x8,45,0,1189.216,1189.216,1189.216,0.0,0.0,0.0,1.0,224,224
mrr_weight_bank_8x8,49,0,1189.216,1189.216,1189.216,0.0,0.0,0.0,1.0,224,224
mrr_weight_bank_8x8,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
mrr_weight_bank_16x16,1,0,41337.404742,41337.404742,41337.404742,0.0,0.0,0.0,1.0,803,803
mrr_weight_bank_16x16,2,0,15164.314256,15164.314256,15164.314256,0.0,0.0,0.0,1.0,62,62
mrr_weight_bank_16x16,3,0,54109.6508,54109.6508,54109.6508,0.0,0.0,0.0,1.0,272,272
mrr_weight_bank_16x16,20,0,3923.318048,3923.318048,3923.318048,0.0,0.0,0.0,1.0,288,288
mrr_weight_bank_16x16,21,0,6436.645856,6436.645856,6436.645856,0.0,0.0,0.0,1.0,288,288
mrr_weight_bank_16x16,22,0,2909.144064,2909.144064,2909.144064,0.0,0.0,0.0,1.0,288,288
mrr_weight_bank_16x16,23,0,5315.150752,5315.150752,5315.150752,0.0,0.0,0.0,1.0,288,288
mrr_weight_bank_16x16,24,0,3740.082656,3740.082656,3740.082656,0.0,0.0,0.0,1.0,576,576
