case,baseline_file,candidate_file,baseline_sha256,candidate_sha256,exact_file_match,baseline_file_bytes,candidate_file_bytes,dbu,baseline_top,candidate_top,baseline_cells,candidate_cells,baseline_top_bbox_um,candidate_top_bbox_um,baseline_top_size_um,candidate_top_size_um,layer_count_union,baseline_total_area_um2,candidate_total_area_um2,intersection_total_area_um2,only_baseline_total_area_um2,only_candidate_total_area_um2,xor_total_area_um2,total_overlap_ratio
toy_example_gp,<LIDAR_C_ROOT>/results/reference_run/toy_example_gp_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/toy_example_gp_cpp.gds,33742a5ea16433c008d2a39eddcc3e4d4dce45d53635fde5fb1105d87b5377f3,33742a5ea16433c008d2a39eddcc3e4d4dce45d53635fde5fb1105d87b5377f3,True,26844,26844,0.001,layout,layout,17,17,"[0.0, 20.0, 145.5, 93.25]","[0.0, 20.0, 145.5, 93.25]","[145.5, 73.25]","[145.5, 73.25]",15,1353.356393,1353.356393,1353.356393,0.0,0.0,0.0,1.0
mrr_weight_bank_4x4,<LIDAR_C_ROOT>/results/reference_run/mrr_weight_bank_4x4_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/mrr_weight_bank_4x4_cpp.gds,a7757457e0ed835a8315dba5edf3bd923746b3884d4536fb48a21cfd0611da5f,a7757457e0ed835a8315dba5edf3bd923746b3884d4536fb48a21cfd0611da5f,True,110828,110828,0.001,layout,layout,176,176,"[0.0, 232.75, 800.0, 575.746]","[0.0, 232.75, 800.0, 575.746]","[800.0, 342.996]","[800.0, 342.996]",16,12646.892754,12646.892754,12646.892754,0.0,0.0,0.0,1.0
mrr_weight_bank_8x8,<LIDAR_C_ROOT>/results/reference_run/mrr_weight_bank_8x8_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/mrr_weight_bank_8x8_cpp.gds,9d851ad9f8efbf8aefd7086debe475d6a51eccaacde2e9af79ddd624039b6c0e,9d851ad9f8efbf8aefd7086debe475d6a51eccaacde2e9af79ddd624039b6c0e,True,189516,189516,0.001,layout,layout,461,461,"[0.0, 424.75, 1600.0, 1175.746]","[0.0, 424.75, 1600.0, 1175.746]","[1600.0, 750.996]","[1600.0, 750.996]",16,46524.567783,46524.567783,46524.567783,0.0,0.0,0.0,1.0
mrr_weight_bank_16x16,<LIDAR_C_ROOT>/results/reference_run/mrr_weight_bank_16x16_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/mrr_weight_bank_16x16_cpp.gds,37c9ea053654ec82e01762a34535e3a8c7242c3caad60e95d011b976a38833f7,37c9ea053654ec82e01762a34535e3a8c7242c3caad60e95d011b976a38833f7,True,454244,454244,0.001,layout,layout,1590,1590,"[0.0, 826.75, 3200.0, 2375.746]","[0.0, 826.75, 3200.0, 2375.746]","[3200.0, 1548.996]","[3200.0, 1548.996]",16,155769.66519,155769.66519,155769.66519,0.0,0.0,0.0,1.0
clements_8x8,<LIDAR_C_ROOT>/results/reference_run/clements_8x8_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/clements_8x8_cpp.gds,d6c4df70866d5e8ee4d574157e95074b7c10988543ff24e705cad4972e5507e1,d6c4df70866d5e8ee4d574157e95074b7c10988543ff24e705cad4972e5507e1,True,175952,175952,0.001,layout,layout,356,356,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66258.538353,66258.538353,66258.538353,0.0,0.0,0.0,1.0
clements_16x16,<LIDAR_C_ROOT>/results/reference_run/clements_16x16_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/clements_16x16_cpp.gds,31b674443b15116e2707dcf33246c94b1e434398056ddb86c58ae24d48c4eb69,31b674443b15116e2707dcf33246c94b1e434398056ddb86c58ae24d48c4eb69,True,528562,528562,0.001,layout,layout,1220,1220,"[0.0, 837.127, 8000.0, 2400.75]","[0.0, 837.127, 8000.0, 2400.75]","[8000.0, 1563.623]","[8000.0, 1563.623]",8,249818.212358,249818.212358,249818.212358,0.0,0.0,0.0,1.0
multiportmmi_8x8,<LIDAR_C_ROOT>/results/reference_run/multiportmmi_8x8_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/multiportmmi_8x8_cpp.gds,b03b2651bc8c72a694547b3004489669f5d1d06a5b58ae43f252d47442bb6ac3,b03b2651bc8c72a694547b3004489669f5d1d06a5b58ae43f252d47442bb6ac3,True,337692,337692,0.001,layout,layout,830,830,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120777.542057,120777.542057,120777.542057,0.0,0.0,0.0,1.0
multiportmmi_16x16,<LIDAR_C_ROOT>/results/reference_run/multiportmmi_16x16_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/multiportmmi_16x16_cpp.gds,c76bf0d159692d4ce440f229b15803484fa38e5bc3919c0f7da04924e29a2aaa,c76bf0d159692d4ce440f229b15803484fa38e5bc3919c0f7da04924e29a2aaa,True,592780,592780,0.001,layout,layout,1609,1609,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,300658.431935,300658.431935,300658.431935,0.0,0.0,0.0,1.0
multiportmmi_32x32,<LIDAR_C_ROOT>/results/reference_run/multiportmmi_32x32_cpp.gds,<PICDB_ROOT>/build_native_release/checks/lidar_c_public_h010_full/multiportmmi_32x32_cpp.gds,39f27135fd877c5c4a66655a1f34a113138dfd257369e1479151f4e3ff0b7577,39f27135fd877c5c4a66655a1f34a113138dfd257369e1479151f4e3ff0b7577,True,1108964,1108964,0.001,layout,layout,3123,3123,"[0.0, 1622.125, 11424.164, 4778.125]","[0.0, 1622.125, 11424.164, 4778.125]","[11424.164, 3156.0]","[11424.164, 3156.0]",8,787514.713208,787514.713208,787514.713208,0.0,0.0,0.0,1.0

