case,layer,datatype,baseline_area_um2,candidate_area_um2,intersection_area_um2,only_baseline_area_um2,only_candidate_area_um2,xor_area_um2,overlap_ratio,baseline_polygons,candidate_polygons
clements_8x8,1,0,24557.102297,24557.102297,24557.102297,0.0,0.0,0.0,1.0,217,217
clements_8x8,2,0,4125.436056,4125.436056,4125.436056,0.0,0.0,0.0,1.0,9,9
clements_8x8,43,0,686.0,686.0,686.0,0.0,0.0,0.0,1.0,1400,1400
clements_8x8,44,0,686.0,686.0,686.0,0.0,0.0,0.0,1.0,1400,1400
clements_8x8,45,0,6776.0,6776.0,6776.0,0.0,0.0,0.0,1.0,56,56
clements_8x8,47,0,22652.0,22652.0,22652.0,0.0,0.0,0.0,1.0,28,28
clements_8x8,49,0,6776.0,6776.0,6776.0,0.0,0.0,0.0,1.0,56,56
clements_8x8,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
multiportmmi_8x8,1,0,40969.604934,40969.591461,40967.124838,2.454012,2.383656,4.837668,0.999939629,224,222
multiportmmi_8x8,2,0,4655.950596,4655.950596,4655.823763,0.127042,0.127042,0.254084,0.999972759,42,42
multiportmmi_8x8,43,0,1372.0,1372.0,1372.0,0.0,0.0,0.0,1.0,2800,2800
multiportmmi_8x8,44,0,1372.0,1372.0,1372.0,0.0,0.0,0.0,1.0,2800,2800
multiportmmi_8x8,45,0,13552.0,13552.0,13552.0,0.0,0.0,0.0,1.0,112,112
multiportmmi_8x8,47,0,45304.0,45304.0,45304.0,0.0,0.0,0.0,1.0,56,56
multiportmmi_8x8,49,0,13552.0,13552.0,13552.0,0.0,0.0,0.0,1.0,112,112
multiportmmi_8x8,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
multiportmmi_16x16,1,0,141549.287623,141549.144655,141540.662973,8.689256,8.48224,17.171496,0.999939575,415,414
multiportmmi_16x16,2,0,8805.28728,8805.28728,8804.532859,0.754684,0.754684,1.509368,0.999914322,80,80
multiportmmi_16x16,43,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600
multiportmmi_16x16,44,0,2744.0,2744.0,2744.0,0.0,0.0,0.0,1.0,5600,5600
multiportmmi_16x16,45,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224
multiportmmi_16x16,47,0,90608.0,90608.0,90608.0,0.0,0.0,0.0,1.0,112,112
multiportmmi_16x16,49,0,27104.0,27104.0,27104.0,0.0,0.0,0.0,1.0,224,224
multiportmmi_16x16,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0

