case,baseline,candidate,mode,layer,datatype,baseline_area_um2,candidate_area_um2,intersection_area_um2,only_baseline_area_um2,only_candidate_area_um2,xor_area_um2,overlap_ratio,baseline_polygons,candidate_polygons,baseline_bbox_um,candidate_bbox_um
clements_8x8,standard,cpp,raw,1,0,24557.102297,24557.102297,24557.102297,0.0,0.0,0.0,1.0,217,217,"[0.5, 438.127, 4799.5, 1200.75]","[0.5, 438.127, 4799.5, 1200.75]"
clements_8x8,standard,cpp,raw,2,0,4125.436056,4125.436056,4125.436056,0.0,0.0,0.0,1.0,9,9,"[0.0, 437.127, 4800.0, 1162.873]","[0.0, 437.127, 4800.0, 1162.873]"
clements_8x8,standard,cpp,raw,43,0,686.0,686.0,686.0,0.0,0.0,0.0,1.0,1400,1400,"[702.85, 668.275, 3529.35, 976.975]","[702.85, 668.275, 3529.35, 976.975]"
clements_8x8,standard,cpp,raw,44,0,686.0,686.0,686.0,0.0,0.0,0.0,1.0,1400,1400,"[702.85, 668.275, 3529.35, 976.975]","[702.85, 668.275, 3529.35, 976.975]"
clements_8x8,standard,cpp,raw,45,0,6776.0,6776.0,6776.0,0.0,0.0,0.0,1.0,56,56,"[701.7, 667.125, 3530.5, 978.125]","[701.7, 667.125, 3530.5, 978.125]"
clements_8x8,standard,cpp,raw,47,0,22652.0,22652.0,22652.0,0.0,0.0,0.0,1.0,28,28,"[701.7, 667.125, 3530.5, 978.125]","[701.7, 667.125, 3530.5, 978.125]"
clements_8x8,standard,cpp,raw,49,0,6776.0,6776.0,6776.0,0.0,0.0,0.0,1.0,56,56,"[701.7, 667.125, 3530.5, 978.125]","[701.7, 667.125, 3530.5, 978.125]"
clements_8x8,standard,cpp,raw,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,[],[]
clements_8x8,standard,cpp,candidate_bbox_ll_aligned,1,0,24557.102297,24557.102297,24557.102297,0.0,0.0,0.0,1.0,217,217,"[0.5, 438.127, 4799.5, 1200.75]","[0.5, 438.127, 4799.5, 1200.75]"
clements_8x8,standard,cpp,candidate_bbox_ll_aligned,2,0,4125.436056,4125.436056,4125.436056,0.0,0.0,0.0,1.0,9,9,"[0.0, 437.127, 4800.0, 1162.873]","[0.0, 437.127, 4800.0, 1162.873]"
clements_8x8,standard,cpp,candidate_bbox_ll_aligned,43,0,686.0,686.0,686.0,0.0,0.0,0.0,1.0,1400,1400,"[702.85, 668.275, 3529.35, 976.975]","[702.85, 668.275, 3529.35, 976.975]"
clements_8x8,standard,cpp,candidate_bbox_ll_aligned,44,0,686.0,686.0,686.0,0.0,0.0,0.0,1.0,1400,1400,"[702.85, 668.275, 3529.35, 976.975]","[702.85, 668.275, 3529.35, 976.975]"
